,group_name,city_id,dt,is_blank,group_usr_num,gmv,subsidy_hufan,subsidy_coupon,subsidy_c,bubble_cnt,compete_call_cnt,objective_call_cnt,fk_gmv,fk_subsidy_c,fk_subsidy_hufan
31,rgroup_joint_exp_pack,71,2023-04-08,0,27517,247318.490000,8759.780000,26761.510000,28405.460000,121517.000000,27442.000000,21274.000000,8.987843514918050659592252062,1.032287676708943562161572846,0.3183406621361340262383253988
32,rgroup_joint_exp_pack,156,2023-04-17,0,28043,449245.720000,9495.350000,28057.720000,34827.467200,116789.000000,33805.000000,32927.000000,16.01988802909817066647648254,1.241930863317048817886816674,0.3385996505366758192775380665
33,rgroup_joint_exp_pack,71,2023-04-17,0,17546,155249.880000,10361.900000,17870.440000,19294.413800,70768.000000,15740.000000,12520.000000,8.848163684030548273110680497,1.099647429613587142368631027,0.5905562521372392568106690984
34,rgroup_joint_exp_pack,324,2023-04-11,0,1483,2303.030000,30.290000,172.240000,181.040000,3996.000000,1304.000000,590.000000,1.552953472690492245448415374,0.1220768712070128118678354686,0.02042481456507080242751180040
36,rgroup_joint_exp_pack,36,2023-04-16,0,292191,6339779.500000,120711.990000,420330.590000,484588.263300,1173201.000000,321659.000000,301808.000000,21.69738116505984099441803478,1.658464029692906352351715145,0.4131269956980194461841740505
37,rgroup_joint_exp_pack,13,2023-04-02,0,277416,4796194.540000,196268.320000,471392.790000,549823.839300,1273390.000000,307983.000000,281367.000000,17.28881729965106554776941489,1.981947109395276407993771087,0.7074873835683594313233555383
38,rgroup_joint_exp_pack,96,2023-04-18,0,25016,231540.890000,13557.660000,19842.570000,21872.084500,109049.000000,25244.000000,17441.000000,9.255711944355612408058842341,0.8743238127598337064278861529,0.5419595458906299968020466901
40,rgroup_joint_exp_pack,196,2023-04-09,0,18130,130441.270000,1508.200000,11467.800000,12009.739100,79890.000000,19670.000000,13846.000000,7.194774958632101489244346387,0.6624235576392719249862107005,0.08318808604522890237175951462
41,rgroup_joint_exp_pack,174,2023-04-02,0,31036,260761.230000,16955.600000,34173.610000,36236.985900,142376.000000,35532.000000,27936.000000,8.401895540662456502126562701,1.167579130686944193839412295,0.5463204021136744425828070628
42,rgroup_joint_blank,36,2023-04-03,1,3781,79705.400000,89.730000,2728.940000,3494.441300,15322.000000,4083.000000,3839.000000,21.08050780216873842898704047,0.9242108701401745569955038350,0.02373181697963501719121925417
43,rgroup_joint_blank,16,2023-04-02,1,1307,13185.990000,3.610000,1019.400000,1134.517300,5794.000000,1070.000000,885.000000,10.08874521805661820964039786,0.8680315990818668706962509564,0.002762050497322111706197398623
48,rgroup_joint_exp_pack,122,2023-04-17,0,5467,16276.090000,265.570000,1276.560000,1348.870000,22060.000000,3640.000000,1706.000000,2.977152002926650813974757637,0.2467294677153832083409548198,0.04857691604170477409914029632
49,rgroup_joint_exp_pack,230,2023-04-12,0,5288,69615.890000,4785.800000,6933.920000,7398.940600,20108.000000,4900.000000,4090.000000,13.16488086232980332829046899,1.399194515885022692889561271,0.9050302571860816944024205749
50,rgroup_joint_exp_pack,286,2023-04-19,0,29658,347192.640000,7431.790000,17311.420000,19702.916900,125592.000000,34244.000000,31340.000000,11.70654258547440825409670241,0.6643373423696810304133791894,0.2505829792973228134061635984
52,rgroup_joint_exp_pack,320,2023-04-07,0,6848,52125.700000,99.030000,2798.410000,3035.249700,19100.000000,6416.000000,5140.000000,7.611813668224299065420560748,0.4432315566588785046728971963,0.01446115654205607476635514019
53,rgroup_joint_exp_pack,344,2023-04-09,0,597,1091.510000,6.510000,59.330000,61.830000,2365.000000,478.000000,227.000000,1.828324958123953098827470687,0.1035678391959798994974874372,0.01090452261306532663316582915
54,rgroup_joint_blank,52,2023-04-12,1,781,11599.890000,0.000000,745.190000,808.620000,3526.000000,767.000000,675.000000,14.85261203585147247119078105,1.035364916773367477592829706,0.000000
58,rgroup_joint_exp_pack,154,2023-04-14,0,46093,937864.020000,9636.320000,56166.760000,62799.267500,197433.000000,47730.000000,45533.000000,20.34721150717028616058837568,1.362446955069099429414444710,0.2090625474583993231076302258
60,rgroup_joint_exp_pack,164,2023-04-06,0,6000,25534.020000,654.660000,2401.570000,2565.518800,24536.000000,4611.000000,2954.000000,4.255670,0.4275864666666666666666666667,0.109110
61,rgroup_joint_exp_pack,58,2023-04-05,0,73502,784020.160000,4906.960000,35086.970000,55587.149600,326554.000000,75936.000000,62666.000000,10.66665070338222089194851841,0.7562671709613343854588990776,0.06675954395798753775407471906
62,rgroup_joint_exp_pack,119,2023-04-16,0,7971,62604.390000,859.390000,4262.730000,4683.594600,33062.000000,7801.000000,6465.000000,7.854019570944674444862627023,0.5875792999623635679337598796,0.1078145778446869903399824363
63,rgroup_joint_exp_pack,253,2023-04-17,0,36822,590005.260000,10402.300000,35212.990000,61250.940200,167157.000000,45664.000000,43939.000000,16.02317255988267883330617566,1.663433279017978382488729564,0.2825023084025854108956602031
64,rgroup_joint_exp_pack,225,2023-04-18,0,26124,284223.910000,6234.150000,17554.380000,20310.840300,115206.000000,32454.000000,30320.000000,10.87980056652886234879804012,0.7774781924666972898484152503,0.2386368856224161690399632522
65,rgroup_joint_exp_pack,294,2023-04-05,0,24398,307954.690000,3801.310000,13790.260000,16962.860900,109108.000000,26813.000000,24422.000000,12.62212845315189769653250266,0.6952562054266743175670136896,0.1558041642757603082219854086
67,rgroup_joint_exp_pack,180,2023-04-17,0,2147,25996.570000,1284.350000,2913.330000,3237.885400,9477.000000,2517.000000,2231.000000,12.10832324173265020959478342,1.508097531439217512808570098,0.5982068001863064741499767117
68,rgroup_joint_exp_pack,290,2023-04-07,0,647,1166.840000,8.000000,36.880000,38.110000,2524.000000,364.000000,324.000000,1.803462132921174652241112828,0.05890262751159196290571870170,0.01236476043276661514683153014
74,rgroup_joint_exp_pack,272,2023-04-02,0,6562,171298.130000,6728.380000,14926.080000,17312.400000,35793.000000,8255.000000,8206.000000,26.10456110941786040841206949,2.638281011886619932947272173,1.025355074672355989027735447
75,rgroup_joint_exp_pack,306,2023-04-16,0,50308,628663.170000,4279.640000,49847.110000,60472.419000,229053.000000,65603.000000,62986.000000,12.49628627653653494474039914,1.202043790252047388089369484,0.08506877633775940208316768705
76,rgroup_joint_exp_pack,64,2023-04-08,0,39526,439180.520000,23190.330000,80812.320000,86748.251100,181159.000000,43144.000000,34671.000000,11.11118048879218742093811668,2.194713634063654303496432728,0.5867107726559732834083894146
77,rgroup_joint_exp_pack,230,2023-04-07,0,6689,79425.530000,3048.930000,7093.620000,7498.840000,25384.000000,6074.000000,5113.000000,11.87405142771714755568844371,1.121070414112722380026909852,0.4558125280310958289729406488
78,rgroup_joint_exp_pack,303,2023-04-19,0,14946,169045.530000,3587.020000,8151.020000,9828.773000,65024.000000,18752.000000,16492.000000,11.31041951023685266961059815,0.6576189615950756055131807842,0.2399986618493242339087381239
80,rgroup_joint_blank,308,2023-04-06,1,842,11174.280000,6.970000,336.870000,518.190000,3477.000000,903.000000,852.000000,13.27111638954869358669833729,0.6154275534441805225653206651,0.008277909738717339667458432304
81,rgroup_joint_blank,74,2023-04-07,1,979,7273.960000,0.000000,922.330000,958.174700,4492.000000,979.000000,787.000000,7.429989785495403472931562819,0.9787279877425944841675178754,0.000000
86,rgroup_joint_exp_pack,26,2023-04-17,0,114498,1667264.360000,126739.010000,216893.230000,248771.386100,457670.000000,108550.000000,98699.000000,14.56151513563555695295987703,2.172713812468340058341630421,1.106910251707453405299655889
87,rgroup_joint_exp_pack,162,2023-04-09,0,20281,314160.490000,12759.840000,27477.070000,42718.771700,84819.000000,20284.000000,19400.000000,15.49038459642029485725555939,2.106344445540160741580789902,0.6291524086583501799714018046
88,rgroup_joint_exp_pack,42,2023-04-15,0,41789,599802.950000,7780.700000,49586.430000,71109.413900,186267.000000,45396.000000,39705.000000,14.35313001028978917897054249,1.701629948072459259613773960,0.1861901457321304649548924358
89,rgroup_joint_exp_pack,125,2023-04-17,0,21224,242775.710000,9380.440000,28780.900000,32500.117300,93214.000000,20723.000000,17580.000000,11.43873492272898605352431210,1.531290864116094986807387863,0.4419732378439502450056539766
90,rgroup_joint_exp_pack,292,2023-04-17,0,8496,96933.500000,1680.220000,5844.980000,6521.884900,40359.000000,10145.000000,9357.000000,11.40931026365348399246704331,0.7676418196798493408662900188,0.1977660075329566854990583804
92,rgroup_joint_exp_pack,354,2023-04-16,0,454,1088.270000,25.650000,85.960000,96.140000,1824.000000,341.000000,226.000000,2.397070484581497797356828194,0.2117621145374449339207048458,0.05649779735682819383259911894
93,rgroup_joint_blank,231,2023-04-05,1,1350,14842.110000,0.000000,575.680000,645.131700,5908.000000,1411.000000,1181.000000,10.99415555555555555555555556,0.4778753333333333333333333333,0.000000
94,rgroup_joint_blank,302,2023-04-18,1,391,3777.310000,0.000000,179.030000,208.460000,1530.000000,390.000000,335.000000,9.660639386189258312020460358,0.5331457800511508951406649616,0.000000
95,rgroup_joint_exp_pack,60,2023-04-06,0,31404,297042.190000,2667.640000,15033.930000,17385.260600,133683.000000,28705.000000,23344.000000,9.458737421984460578270284040,0.5536001974270793529486689594,0.08494586676856451407464017323
96,rgroup_joint_exp_pack,105,2023-04-13,0,39172,577012.980000,22015.910000,42301.750000,52636.387200,166537.000000,40380.000000,35975.000000,14.73024047789237210252220974,1.343724783008271214132543654,0.5620318084345961401000714796
97,rgroup_joint_exp_pack,14,2023-04-05,0,210248,2395845.240000,16544.360000,142339.750000,163400.309700,962356.000000,194343.000000,163007.000000,11.39532951561964917621095088,0.7771789015828925839960427685,0.07868973783341577565541646056
98,rgroup_joint_exp_pack,242,2023-04-06,0,17385,141708.930000,1689.700000,8149.580000,8975.024200,73487.000000,18033.000000,15375.000000,8.151218291630716134598792062,0.5162510324992809893586425079,0.09719298245614035087719298246
99,rgroup_joint_exp_pack,258,2023-04-15,0,27701,373468.080000,6574.330000,25627.370000,34870.017200,126763.000000,34532.000000,33804.000000,13.48211544709577271578643370,1.258799942240352333850763510,0.2373318652756218187069058879
100,rgroup_joint_exp_pack,156,2023-04-18,0,27029,428259.090000,8441.650000,22898.160000,29296.293400,111440.000000,32839.000000,31895.000000,15.84442968663287580006659514,1.083883732287543009360316697,0.3123182507676939583410411040
101,rgroup_joint_exp_pack,231,2023-04-09,0,20299,227511.440000,4440.780000,18157.890000,19635.526100,86322.000000,21473.000000,17818.000000,11.20801221735060840435489433,0.9673149465490910882309473373,0.2187684122370560126114586925
102,rgroup_joint_exp_pack,104,2023-04-03,0,18053,127702.270000,877.910000,8808.310000,9569.157000,81882.000000,20176.000000,16142.000000,7.073742314296792776823796599,0.5300591037500692405694344430,0.04862959064975350357281338282
103,rgroup_joint_exp_pack,216,2023-04-14,0,161,0.000000,0.000000,0.000000,0.000000,395.000000,71.000000,56.000000,0.000000,0.000000,0.000000
104,rgroup_joint_blank,350,2023-04-15,1,248,2539.610000,0.000000,225.180000,233.920000,1125.000000,285.000000,249.000000,10.24036290322580645161290323,0.9432258064516129032258064516,0.000000
105,rgroup_joint_blank,127,2023-04-11,1,261,2754.790000,0.000000,202.970000,254.910000,1051.000000,261.000000,229.000000,10.55475095785440613026819923,0.9766666666666666666666666667,0.000000
106,rgroup_joint_blank,320,2023-04-01,1,66,525.540000,0.000000,55.950000,57.260000,220.000000,82.000000,66.000000,7.962727272727272727272727273,0.8675757575757575757575757576,0.000000
107,rgroup_joint_blank,232,2023-04-16,1,781,6736.070000,0.000000,471.570000,528.140000,3333.000000,743.000000,546.000000,8.624929577464788732394366197,0.6762355953905249679897567222,0.000000
108,rgroup_joint_blank,256,2023-04-13,1,760,13725.710000,39.370000,514.170000,695.230000,3597.000000,978.000000,959.000000,18.06014473684210526315789474,0.9147763157894736842105263158,0.05180263157894736842105263158
109,rgroup_joint_blank,168,2023-04-14,1,1017,10397.730000,1.370000,622.550000,722.520000,4426.000000,986.000000,833.000000,10.22392330383480825958702065,0.7104424778761061946902654867,0.001347099311701081612586037365
110,rgroup_joint_exp_pack,327,2023-04-12,0,684,1088.670000,3.590000,78.730000,83.050000,1546.000000,441.000000,388.000000,1.591622807017543859649122807,0.1214181286549707602339181287,0.005248538011695906432748538012
115,rgroup_joint_exp_pack,264,2023-04-05,0,13771,176472.800000,231.680000,7129.290000,9018.474200,60798.000000,14358.000000,13566.000000,12.81481373901677438094546511,0.6548888388642800087139641275,0.01682376007552102243845762835
116,rgroup_joint_exp_pack,86,2023-04-13,0,193772,3442194.570000,206488.940000,315520.910000,470741.587400,843931.000000,222507.000000,203860.000000,17.76414843217802365666866214,2.429358149784282558883636439,1.065628367359577235101046591
118,rgroup_joint_blank,118,2023-04-11,1,1189,15446.140000,0.750000,561.680000,831.760000,5144.000000,1252.000000,1135.000000,12.99086627417998317914213625,0.6995458368376787216148023549,0.0006307821698906644238856181665
120,rgroup_joint_exp_pack,65,2023-04-17,0,11178,79380.870000,4239.280000,10388.080000,10894.156800,49677.000000,13121.000000,9812.000000,7.101527106816961889425657542,0.9746069779924852388620504563,0.3792521023438897835033100734
121,rgroup_joint_exp_pack,214,2023-04-10,0,180,0.000000,0.000000,0.000000,0.000000,655.000000,99.000000,57.000000,0.000000,0.000000,0.000000
122,rgroup_joint_exp_pack,372,2023-04-03,0,5555,43507.910000,588.540000,1981.510000,2186.643400,24871.000000,7034.000000,5758.000000,7.832207020702070207020702070,0.3936351755175517551755175518,0.1059477947794779477947794779
123,rgroup_joint_blank,337,2023-04-15,1,50,196.360000,0.000000,34.920000,36.290000,165.000000,37.000000,23.000000,3.927200,0.725800,0.000000
126,rgroup_joint_exp_pack,78,2023-04-17,0,25812,249612.940000,11931.870000,25711.410000,28370.564700,110969.000000,27515.000000,22238.000000,9.670422284208895087556175422,1.099123070664807066480706648,0.4622605764760576476057647606
127,rgroup_joint_exp_pack,53,2023-04-18,0,44892,521575.880000,9147.320000,29947.580000,36212.937600,190008.000000,53060.000000,48957.000000,11.61845941370400071282188363,0.8066679497460572039561614542,0.2037628085182215094003385904
129,rgroup_joint_exp_pack,220,2023-04-10,0,6857,121457.380000,1683.650000,7756.160000,8736.461200,31953.000000,8160.000000,7693.000000,17.71290360215837829954790725,1.274093801954207379320402508,0.2455374070293131106898060376
130,rgroup_joint_exp_pack,348,2023-04-07,0,8912,98228.660000,1181.570000,5266.620000,5883.699200,38546.000000,10721.000000,9825.000000,11.02206687612208258527827648,0.6601996409335727109515260323,0.1325819120287253141831238779
134,rgroup_joint_exp_pack,276,2023-04-04,0,150,698.700000,23.940000,73.690000,75.040000,336.000000,73.000000,73.000000,4.658000,0.5002666666666666666666666667,0.159600
135,rgroup_joint_exp_pack,323,2023-04-04,0,353,1801.350000,0.000000,75.230000,79.130000,1344.000000,231.000000,220.000000,5.102974504249291784702549575,0.2241643059490084985835694051,0.000000
138,rgroup_joint_exp_pack,66,2023-04-04,0,8043,26699.350000,113.090000,2276.140000,2409.383600,31863.000000,5587.000000,3196.000000,3.319576028844958348874797961,0.2995627999502673131915951759,0.01406067387790625388536615691
139,rgroup_joint_blank,39,2023-04-18,1,2797,36097.600000,14.670000,1486.760000,1956.452400,12060.000000,2719.000000,2217.000000,12.90582767250625670361101180,0.6994824454772971040400429031,0.005244905255631033249910618520
142,rgroup_joint_exp_pack,309,2023-04-02,0,446,1152.960000,243.030000,301.670000,305.920000,2352.000000,497.000000,409.000000,2.585112107623318385650224215,0.6859192825112107623318385650,0.5449103139013452914798206278
143,rgroup_joint_blank,135,2023-04-06,1,2536,39126.140000,90.250000,1432.510000,2503.018500,12225.000000,2412.000000,2269.000000,15.42828864353312302839116719,0.9869946766561514195583596215,0.03558753943217665615141955836
144,rgroup_joint_exp_pack,269,2023-04-14,0,10070,190216.100000,1377.980000,10603.620000,13410.600900,45812.000000,11487.000000,11229.000000,18.88938430983118172790466733,1.331737924528301886792452830,0.1368401191658391261171797418
145,rgroup_joint_exp_pack,194,2023-04-19,0,6895,43342.250000,1175.830000,3258.520000,3626.260000,28077.000000,6535.000000,4493.000000,6.286040609137055837563451777,0.5259260333575054387237128354,0.1705337200870195794053662074
148,rgroup_joint_exp_pack,347,2023-04-01,0,276,516.400000,0.550000,51.280000,52.400000,961.000000,281.000000,281.000000,1.871014492753623188405797101,0.1898550724637681159420289855,0.001992753623188405797101449275
150,rgroup_joint_blank,98,2023-04-16,1,1496,13931.530000,3.500000,956.650000,1035.726500,6676.000000,1589.000000,1028.000000,9.312520053475935828877005348,0.6923305481283422459893048128,0.002339572192513368983957219251
151,rgroup_joint_blank,58,2023-04-18,1,646,7178.420000,0.000000,237.810000,370.530000,2734.000000,640.000000,528.000000,11.11210526315789473684210526,0.5735758513931888544891640867,0.000000
152,rgroup_joint_blank,274,2023-04-06,1,167,4180.460000,0.000000,125.030000,151.670000,635.000000,157.000000,155.000000,25.03269461077844311377245509,0.9082035928143712574850299401,0.000000
156,rgroup_joint_exp_pack,21,2023-04-02,0,393723,8084500.690000,215768.260000,560585.350000,656373.346300,1621236.000000,410133.000000,387877.000000,20.53347325403900711921833370,1.667094242144858187101083757,0.5480204610855855512631977304
157,rgroup_joint_exp_pack,181,2023-04-04,0,5290,56126.310000,949.100000,3984.330000,4584.671400,21755.000000,5893.000000,5378.000000,10.60988846880907372400756144,0.8666675614366729678638941399,0.1794139886578449905482041588
158,rgroup_joint_exp_pack,72,2023-04-17,0,17127,166105.830000,6857.470000,17399.090000,19118.890600,74755.000000,19084.000000,16185.000000,9.698477842003853564547206166,1.116301196940503298884801775,0.4003894435686343200794067846
160,rgroup_joint_blank,175,2023-04-11,1,212,2370.840000,0.220000,104.670000,106.040000,895.000000,198.000000,152.000000,11.18320754716981132075471698,0.5001886792452830188679245283,0.001037735849056603773584905660
161,rgroup_joint_blank,99,2023-04-12,1,256,1839.070000,0.000000,23.110000,29.070000,1005.000000,162.000000,93.000000,7.1838671875,0.1135546875,0.000000
167,rgroup_joint_exp_pack,135,2023-04-01,0,55135,890596.480000,26792.010000,64722.000000,89057.321300,266739.000000,54547.000000,51328.000000,16.15301496327196880384510746,1.615259296272784982316133128,0.4859347057223179468577128866
168,rgroup_joint_exp_pack,16,2023-04-06,0,110637,1290765.960000,53947.360000,111908.760000,127734.686200,468164.000000,92934.000000,77847.000000,11.66667534369153176604571707,1.154538591971944286269512008,0.4876068584650704556341910934
169,rgroup_joint_exp_pack,22,2023-04-04,0,163929,1750541.950000,1568.400000,73892.420000,135964.054900,743132.000000,155040.000000,128720.000000,10.67865935862477047990288479,0.8294081883010327641844945068,0.009567556686126310780886847355
170,rgroup_joint_exp_pack,284,2023-04-13,0,21386,215803.200000,3923.070000,17733.450000,21113.920800,92965.000000,26048.000000,24785.000000,10.09086318152062096698774899,0.9872776956887683531282147199,0.1834410361919012438043579912
171,rgroup_joint_blank,320,2023-04-13,1,175,1355.510000,28.020000,73.270000,83.840000,564.000000,186.000000,152.000000,7.745771428571428571428571429,0.4790857142857142857142857143,0.1601142857142857142857142857
