city_id,pred_date,ori_c_budget,new_c_budget,new_c_budget_rate,ori_b_budget,ori_acc_budget,ori_acc_rate,new_b_budget,new_b_budget_rate,cur_diaodu_subsidy,new_diaodu_budget_rate,subsidy_money_lowerbound,subsidy_money_upperbound,lastweek_avg_diaodu_rate,type,k1,k2,k3,alpha,intercept,succ_rate,total_gmv,dgmv,roi,dt_idx,tdate,last_week_subsidy,lastweek_diaodu_gmv,lastweek_diaodu_subsidy
1,2023-03-27,0.0,1363872.323258947,0.023869132880962995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,sigmoid_linear,2.9173228167054814,0.015408997948770691,0.3649752308612557,0.0,0.0,0.7268650310671415,57139584.0,60321722.31378801,2527185324.0172815,1,2023-03-19,43708.0,49372008.04,43708.0
1,2023-03-28,0.0,1398033.4717697375,0.023738675696323548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,sigmoid_linear,2.9173228167054814,0.015408997948770691,0.3649752308612557,0.0,0.0,0.7286236087042695,58892648.0,61434840.16858525,2587964086.7287207,2,2023-03-20,51065.0,57406166.23,51065.0
1,2023-03-29,0.0,1424571.2534774966,0.02358514039083145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,sigmoid_linear,2.9173228167054814,0.015408997948770691,0.3649752308612557,0.0,0.0,0.7332289789810894,60401220.0,61789743.36357809,2619859044.2818985,3,2023-03-21,43317.0,58819709.1,43317.0
1,2023-03-30,0.0,1468191.1100015503,0.023722410856572458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,sigmoid_linear,2.9173228167054814,0.015408997948770691,0.3649752308612557,0.0,0.0,0.7223586002203718,61890468.0,63080908.68052605,2659127230.445427,4,2023-03-22,39548.0,61474514.12,39548.0
1,2023-03-31,0.0,1578992.5268028718,0.024392333380772274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,sigmoid_linear,2.9173228167054814,0.015408997948770691,0.3649752308612557,0.0,0.0,0.7162167848863351,64733148.0,66084325.577156544,2709225253.097303,5,2023-03-23,42759.0,61792991.51,42759.0
7,2023-03-27,0.0,201341.48418865202,0.019359880955845683,0.0,0.0,0.0,0.0,0.0,14005.179960943111,0.0013466604654359452,9036.5,14626.264956060999,0.0,sigmoid_linear,1.4614284831633058,0.016848083140451407,-0.7900376396767942,0.0,0.0,0.7971803064456011,10399934.0,0.044309290694509285,2.1398692226297813,1,2023-03-19,8950.0,10383947.41,8950.0
7,2023-03-28,0.0,203060.01449439878,0.019435588343280245,0.0,0.0,0.0,0.0,0.0,14005.179960943111,0.001340485043656669,9036.5,14626.264956060999,0.0,sigmoid_linear,1.4614284831633058,0.016848083140451407,-0.7900376396767942,0.0,0.0,0.7979313602796211,10447845.0,0.0448039906573896,2.156518694507519,2,2023-03-20,6895.0,10192791.67,6895.0
7,2023-03-29,0.0,201942.1871755392,0.019459323735168663,0.0,0.0,0.0,0.0,0.0,14016.913250873666,0.0013506818784696454,9142.099609375,14626.264956060999,0.0,sigmoid_linear,1.4614284831633058,0.016848083140451407,-0.7900376396767942,0.0,0.0,0.8001234904388245,10377657.0,0.04356356995081567,2.0933953964080287,3,2023-03-21,10086.0,10235048.39,10086.0
7,2023-03-30,0.0,205562.83365153527,0.019251997137858197,0.0,0.0,0.0,0.0,0.0,14626.264956060999,0.0013698235525833292,9036.5,14626.264956060999,0.0,sigmoid_linear,1.4614284831633058,0.016848083140451407,-0.7900376396767942,0.0,0.0,0.8000089607129989,10677481.0,0.041879347289040414,2.0308268565467653,4,2023-03-22,8317.0,10314913.4,8317.0
7,2023-03-31,0.0,236663.52352893676,0.02079506720943129,0.0,0.0,0.0,0.0,0.0,14626.264956060999,0.0012851755025402097,9036.5,14626.264956060999,0.0,sigmoid_linear,1.4614284831633058,0.016848083140451407,-0.7900376396767942,0.0,0.0,0.7966724680715614,11380753.0,0.04145013169903322,1.8772498219215559,5,2023-03-23,7990.0,10421206.14,7990.0
8,2023-03-27,0.0,60052.75118130602,0.022882429587857366,0.0,0.0,0.0,0.0,0.0,11969.340196835492,0.004560783292680489,6939.89990234375,12598.02023364696,0.0,sigmoid_linear,4.419559226491114,0.025964024590437437,1.0443665036584977,0.0,0.0,0.6143840633717398,2624404.5,0.023378166740583906,0.8518742627676515,1,2023-03-19,5117.0,2493662.83,5117.0
8,2023-03-28,0.0,59657.16581423874,0.022848929102520763,0.0,0.0,0.0,0.0,0.0,4911.5,0.001881123813968479,4911.5,12598.02023364696,0.0,sigmoid_linear,4.419559226491114,0.025964024590437437,1.0443665036584977,0.0,0.0,0.6217503989613506,2610939.25,0.019241710653684185,0.7780699345311307,2,2023-03-20,5496.0,2541851.87,5496.0
8,2023-03-29,0.0,59364.59524649259,0.022814502208011372,0.0,0.0,0.0,0.0,0.0,4911.5,0.0018875463924142271,4911.5,12598.02023364696,0.0,sigmoid_linear,4.419559226491114,0.025964024590437437,1.0443665036584977,0.0,0.0,0.6237385617177389,2602055.25,0.018899551235844525,0.7651005607493987,3,2023-03-21,5492.0,2522893.36,5492.0
8,2023-03-30,0.0,60638.099290715436,0.022823762973481293,0.0,0.0,0.0,0.0,0.0,7473.673411215653,0.0028130392026471927,4911.5,12598.02023364696,0.0,sigmoid_linear,4.419559226491114,0.025964024590437437,1.0443665036584977,0.0,0.0,0.6190598493227857,2656796.75,0.020018387179698394,0.7808457171128139,4,2023-03-22,5722.0,2579345.38,5722.0
